respondent_id,persona,age_group,gender,city_tier,education_level,employment_status,shopping_frequency,platform_1,platform_2,platform_3,primary_device,browse_time_before_purchase,cart_abandonment_freq,cart_abandon_reason,cat_fashion,cat_electronics,cat_grocery,cat_beauty,cat_home,cat_books,cat_sports,cat_toys,review_importance_score,discovery_channel,recommendation_acceptance_score,monthly_income_bracket,monthly_spend_bracket,max_single_transaction_value,discount_sensitivity_score,impulse_discount_threshold,preferred_payment_method,loyalty_member,loyalty_member_flag,delivery_importance_score,return_frequency,social_purchase_influence_freq,social_commerce_adoption,repeat_purchase_intent_score,platform_switching_propensity,review_writing_freq,festive_spend_proportion,impulse_trigger_type,ai_personalisation_comfort,will_purchase
1001,premium_loyalist,45-54,Male,Metro (Tier 1),Undergraduate,Self-employed,Weekly,Amazon,Myntra,Ajio,Smartphone,10-30 minutes,Rarely,High delivery charges,1,1,0,0,1,0,0,0,5,Platform recommendations,3,100000-200000,5000-15000,10128.49,2,Discounts dont trigger,Credit card,Yes - one programme,1,3,Never,Never,No but open to it,4,3,Occasionally,26-50pct,Festive sale,3,1
1002,urban_professional,25-34,Male,Metro (Tier 1),Undergraduate,Salaried (private),Daily or almost daily,Meesho,Amazon,,Smartphone,More than 1 hour,Rarely,Found better deal elsewhere,0,1,1,1,0,0,0,1,5,Email / app notifications,4,Above 200000,Above 15000,47900.73,3,Discounts dont trigger,Credit card,No not interested,0,2,Frequently,Sometimes,No but open to it,3,4,Frequently,26-50pct,Flash sale notification,5,1
1003,value_seeker,35-44,Female,Tier 3 city,Postgraduate,Self-employed,Monthly,Amazon,Myntra,Flipkart,Smartphone,30-60 minutes,Sometimes,High delivery charges,1,1,1,1,0,0,0,0,4,Email / app notifications,3,50000-100000,500-2000,4671.73,2,21-40pct,Debit card,No but considering,0,4,Occasionally,Often,No but open to it,2,5,Frequently,Less than 10pct,Recommendation email,1,0
1004,budget_student,18-24,Male,Metro (Tier 1),Undergraduate,Student,Monthly,Ajio,Myntra,Amazon,Smartphone,More than 1 hour,Often,High delivery charges,1,0,0,1,0,0,1,0,4,Platform recommendations,5,20000-50000,Under 500,4196.07,4,21-40pct,Net banking,No not interested,0,4,Rarely,Often,Yes occasionally,3,3,Frequently,10-25pct,Boredom,3,1
1005,value_seeker,35-44,Male,Tier 3 city,Undergraduate,Self-employed,Occasionally,Meesho,Nykaa,,Smartphone,30-60 minutes,Sometimes,High delivery charges,1,1,1,0,0,1,0,0,4,Search engine,4,Above 200000,Above 15000,42893.56,1,41-60pct,UPI,Yes - one programme,1,3,Occasionally,Rarely,Yes occasionally,2,1,Never,26-50pct,Festive sale,2,0
1006,value_seeker,45-54,Female,Tier 3 city,Undergraduate,Salaried (govt.),Monthly,Other,Meesho,Myntra,Smartphone,Under 10 minutes,Sometimes,Payment issues,1,0,1,0,1,0,0,0,4,Search engine,5,20000-50000,2000-5000,2659.13,4,41-60pct,Debit card,No not interested,0,3,Occasionally,Rarely,No not interested,3,4,Never,26-50pct,Festive sale,3,1
1007,budget_student,18-24,Female,Tier 2 city,Undergraduate,Student,Monthly,Myntra,Flipkart,Ajio,Tablet,More than 1 hour,Rarely,Payment issues,1,0,1,0,0,0,0,0,3,Social media ads,3,20000-50000,500-2000,1896.99,4,41-60pct,Debit card,No but considering,0,4,Occasionally,Rarely,No but open to it,2,4,Frequently,26-50pct,Influencer post,3,0
1008,homemaker,25-34,Male,Tier 3 city,High school or below,Homemaker,Weekly,Nykaa,Flipkart,,Smartphone,10-30 minutes,Rarely,High delivery charges,1,1,1,0,1,0,0,1,2,Search engine,3,20000-50000,Under 500,1013.91,4,41-60pct,Credit card,No but considering,0,5,Occasionally,Sometimes,Yes regularly,3,3,Rarely,10-25pct,Flash sale notification,3,0
1009,urban_professional,35-44,Female,Metro (Tier 1),Undergraduate,Salaried (private),Rarely,Amazon,Nykaa,,Smartphone,Under 10 minutes,Almost always,N/A - I rarely abandon,0,1,1,0,0,0,1,0,3,Social media ads,5,50000-100000,500-2000,7758.52,3,21-40pct,Cash on delivery,Yes - one programme,1,3,Occasionally,Almost always,No but open to it,4,2,Frequently,10-25pct,Gifting occasion,4,1
1010,value_seeker,25-34,Male,Rural / town,Undergraduate,Self-employed,Occasionally,Other,Flipkart,,Smartphone,30-60 minutes,Often,High price / no discount,1,1,1,0,0,0,0,0,4,Social media ads,3,50000-100000,2000-5000,9149.74,4,10-20pct,UPI,Yes - one programme,1,5,Occasionally,Often,No but open to it,3,1,Frequently,26-50pct,Influencer post,3,0
